Query,Response
Student Development Workshop on Agile Software Development .,https://www.shahandanchor.com/home/orientation-for-enterprise-resource-planning-erp/
Internship in Association with Live Your Dream Foundation (Happy Bubbles) .,https://www.shahandanchor.com/home/internship-in-association-with-live-your-dream-foundation-happy-bubbles/
Idea Competition by IIC SAKEC .,https://www.shahandanchor.com/home/idea-competition-by-iic-sakec/
Audited Statement of F.Y. 2017-18 .,https://www.shahandanchor.com/home/audited-statement-of-f-y-2017-18/
Committee for SC/ST .,https://www.shahandanchor.com/home/committee-for-scst/
Congratulations NSEIT Placed!!! .,https://www.shahandanchor.com/home/congratulations-nseit-placed/
Congratulations Wipro Placed!!! .,https://www.shahandanchor.com/home/congratulations-wipro-placed/
Congratulations Dark Horse Digital Solutions Placed!!! .,https://www.shahandanchor.com/home/congratulations-dark-horse-digital-solutions-placed/
Congratulations Zeus Learning Pvt. Ltd. Placed!!! .,https://www.shahandanchor.com/home/congratulations-zeus-learning-pvt-ltd-placed/
Congratulations Servosys Solutions Placed!!! .,https://www.shahandanchor.com/home/congratulations-servosys-solutions-placed/
Congratulations Think and Learn Pvt. Ltd. (BYJUS) Placed!!! .,https://www.shahandanchor.com/home/congratulations-think-and-learn-pvt-ltd-byjus-placed/
Congratulations Bitwise Placed!!! .,https://www.shahandanchor.com/home/congratulations-bitwise-placed/
Congratulations Hexaware Technologies Limited Placed!!! .,https://www.shahandanchor.com/home/congratulations-hexaware-technologies-limited-placed/
Congratulations Reliance Jio Infocomm Limited Placed!!! .,https://www.shahandanchor.com/home/congratulations-reliance-jio-infocomm-limited-placed/
Audited Statement of F.Y. 2016-17 .,https://www.shahandanchor.com/home/audited-statement-of-f-y-2016-17/
Audited Statement of F.Y. 2015-16 .,https://www.shahandanchor.com/home/audited-statement-of-f-y-2015-16/
Life @ SAKEC .,https://www.shahandanchor.com/home/life-sakec/
#BeTheHero .,https://www.shahandanchor.com/home/drug-free-india/
SAKEC CONNECT .,https://www.shahandanchor.com/home/sakec-connect/
Office Staff .,https://www.shahandanchor.com/home/office-staff/
Infra .,https://www.shahandanchor.com/home/infra/
Infrastructure .,https://www.shahandanchor.com/home/infrastructure/
Exam Cell Staff .,https://www.shahandanchor.com/home/exam-cell-staff/
Professional Bodies Policy .,https://www.shahandanchor.com/home/professional-bodies-policy/
Congratulations Jaro Education Placed!!! .,https://www.shahandanchor.com/home/congratulations-jaro-education-placed/
Congratulations CodeArray Technologies Pvt Ltd Placed!!! .,https://www.shahandanchor.com/home/congratulations-wipro-placed-2/
Episode 04 of India First Leadership Talk Series .,https://www.shahandanchor.com/home/episode-03-of-india-first-leadership-talk-series-19th-march-2019/
Google's Developer Student Club Lead Program .,https://www.shahandanchor.com/home/hands-on-github-workshop-2/
Governing Body .,https://www.shahandanchor.com/home/governing-body/
Congratulating the students listed as authors in GNUKhata software .,https://www.shahandanchor.com/home/congratulating-the-students-listed-as-authors-in-gnukhata-software/
"Internship at Centre for Creative Learning (CCL), IIT Gandhinagar .",https://www.shahandanchor.com/home/internship-at-centre-for-creative-learning-ccl-iit-gandhinagar/
Intern with Wisdom Sprouts .,https://www.shahandanchor.com/home/intern-with-wisdom-sprouts/
One Day Python Workshop for Teachers .,https://www.shahandanchor.com/home/design-competition-for-proof-of-concept-development/
Summer Training by Internshala .,https://www.shahandanchor.com/home/summer-training-by-internshala/
Education Leadership Award by The ABP NEWS .,https://www.shahandanchor.com/home/education-leadership-award-by-the-abp-news/
“50 FABULOUS EDUTECH LEADERS” at the 8th World Education Congress .,https://www.shahandanchor.com/home/50-fabulous-edutech-leaders-at-the-8th-world-education-congress/
Congratulations the team Coll_Shahandanchor_1 for ranking 1st Nationally and 50th Internationally at DATA MINING CUP 2019 @ Berlin .,https://www.shahandanchor.com/home/congratulations-the-team-coll_shahandanchor_1-for-ranking-1st-nationally-and-50th-internationally-at-data-mining-cup-2019-berlin/
Registration of Institution’s Innovation Council (IIC 2.0) .,https://www.shahandanchor.com/home/registration-of-institutions-innovation-council-iic-2-0/
Alumni Talk .,https://www.shahandanchor.com/home/student-development-workshop-on-industry-expectations-from-engineering-graduates/
Internship opportunity with Indian Development Foundation .,https://www.shahandanchor.com/home/5156-2/
Alumni Cell Student Team Registration .,https://www.shahandanchor.com/home/alumni-cell-student-team-registration/
14th Inter-Collegiate/Institute/Department Avishkar Research Convention (Zone VIII) .,https://www.shahandanchor.com/home/14th-inter-collegiate-institute-department-avishkar-research-convention-zone-viii/
Clearance form for Leaving Certificate .,https://www.shahandanchor.com/home/clearance-form-leaving-certificate/
SAKEC Alumni Cell Logo Design Contest .,https://www.shahandanchor.com/home/sakec-alumni-cell-logo-design-contest/
Internship opportunity at Arihant Media Solutions (AMS) .,https://www.shahandanchor.com/home/internship-at-art-of-living/
Invitation to join SAKEC Research Cell .,https://www.shahandanchor.com/home/invitation-to-join-sakec-research-cell/
Internship opportunity at Namita’s Fitness Hub (NFH) .,https://www.shahandanchor.com/home/internship-opportunity-at-namitas-fitness-hub-nfh/
Book Launch Event .,https://www.shahandanchor.com/home/book-launch-event/
"""ARTIFICIAL INTELLIGENCE: MAKING A SYSTEM INTELLIGENT"" Book Launch Event .",https://www.shahandanchor.com/home/artificial-intelligence-making-a-system-intelligent-book-launch-event/
Placement Orientation for 2021 Batch .,https://www.shahandanchor.com/home/placement-orientation-for-2020-batch/
A One Day Linux Workshop for Teachers .,https://www.shahandanchor.com/home/a-one-day-linux-workshop-for-teachers/
SAKEC Congratulates Students Placed in NSEIT .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-nseit/
SAKEC Congratulates Students Placed in Infosys .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-infosys/
SAKEC Congratulates Students Placed in Sciative Solutions .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-sciative-solutions/
SAKEC Congratulates Students Placed in LTI .,https://www.shahandanchor.com/home/lti-placed-students/
SAKEC Congratulates Students Placed in MAQ Software .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-maq-software/
Dress Code .,https://www.shahandanchor.com/home/dress-code/
Calculator Workshop 2019 .,https://www.shahandanchor.com/home/use-of-scientific-calculator/
SAKEC Global Immersion 2019-20: EUROPE .,https://www.shahandanchor.com/home/iste-arduino-for-beginners/
Workshops Organised by IIT Bombay E-Cell .,https://www.shahandanchor.com/home/workshops-organised-by-iit-bombay-e-cell/
Working with Geodesics - Creative Applications of Simple Mathematical and Geometrical Principles .,https://www.shahandanchor.com/home/working-with-geodesics-creative-applications-of-simple-mathematical-and-geometrical-principles/
SAKEC Congratulates Students Placed in Vistex Asia Pacific Pvt. Ltd. .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-vistex-asia-pacific-pvt-ltd/
SAKEC Congratulates Students Placed in Vistaar Technologies Price Management Solutions .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-vistaar-technologies-price-management-solutions/
SAKEC Congratulates Students Placed in Capgemini India .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-capgemini-india/
Blockchain & Its Applications .,https://www.shahandanchor.com/home/blockchain-its-applications/
IEEE OUTBOUND 2019 .,https://www.shahandanchor.com/home/ieee-outbound-2019/
Internship opportunity at MICROSOFT .,https://www.shahandanchor.com/home/internship-opportunity-at-microsoft/
SAKEC Congratulates Students Placed in Neosoft Technologies .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-jneosoft-technologies/
International University Fair .,https://www.shahandanchor.com/home/international-university-fair/
Exposure Visit to School – Problem Identification .,https://www.shahandanchor.com/home/exposure-visit-to-school-problem-identity-real-life/
My Story - Innovator's Life & Crossroad .,https://www.shahandanchor.com/home/my-story-innovators-life-crossroad/
SAKEC Congratulates Students Placed in Reliance Jio Inocomm Ltd .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-reliance-jio-inocomm-ltd/
Student Development Workshop on Agile Development Practice .,https://www.shahandanchor.com/home/7282-2/
SAKEC Congratulates Students Placed in Jaro Toppscholars .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-jaro-toppscholars/
Faculty Development Workshop on Agile Development Practice .,https://www.shahandanchor.com/home/faculty-development-workshop-on-agile-development-practice/
My Story - Entrepreneur’s Life & Crossroad .,https://www.shahandanchor.com/home/my-story-entrepreneurs-life-crossroad/
IEEE SAKEC INDUSTRIAL VISIT 2020 .,https://www.shahandanchor.com/home/ieee-sakec-industrial-visit-2020/
SAKEC Congratulates Students Placed in Tata Consultancy Services .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-tata-consultancy-services/
Reimagining teaching and learning for the future .,https://www.shahandanchor.com/home/reimagining-teaching-and-learning-for-the-future/
Indian Development Foundation Day 2019 .,https://www.shahandanchor.com/home/indian-development-foundation-day-2019/
SAKEC Congratulates Students Placed in Gracenote - A Neilson Group Company .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-gracenote-a-neilson-group-company/
"Session on ""Connect with work session"" by Training and Placement Cell .",https://www.shahandanchor.com/home/sakec-robo-club-industrial-visit/
SAKEC Congratulates Students Placed in Infosys Limited .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-infosys-limited/
Gamification .,https://www.shahandanchor.com/home/gamification/
SAKEC Congratulates GNUKhata Developers .,https://www.shahandanchor.com/home/sakec-congratulates-gnukhata-developers/
Innovation Story Telling .,https://www.shahandanchor.com/home/innovation-story-telling/
Four Golden Stars to SAKEC IIC .,https://www.shahandanchor.com/home/four-golden-stars-to-sakec-iic/
Seminar on : Intellectual Property Rights Awareness .,https://www.shahandanchor.com/home/seminar-on-intellectual-property-rights-awareness/
Story Telling – Product Development Phases .,https://www.shahandanchor.com/home/story-telling-product-development-phases/
Workshop on Design Thinking .,https://www.shahandanchor.com/home/workshop-on-design-thinking/
Visit of School Children to the Innovation Facilities in the Campus .,https://www.shahandanchor.com/home/visit-of-school-children-to-the-innovation-facilities-in-the-campus/
Enhancing Academic Patenting with IEEE IQP .,https://www.shahandanchor.com/home/enhancing-academic-patenting-with-ieee-iqp/
NEAT Logo Contest .,https://www.shahandanchor.com/home/neat-logo-contest/
SAKEC Congratulates Students Placed in CodeArray Technologies Pvt Ltd .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-codearray-technologies-pvt-ltd/
SAKEC Congratulates Students Placed in Dolat Capital Market Pvt. Ltd .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-dolat-capital/
SAKEC Congratulates Students Placed in TCS Codevita .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-tcs-codevita/
Placement Event 2016-17 .,https://www.shahandanchor.com/home/placement-event-2016-17/
Placement Event 2017-18 .,https://www.shahandanchor.com/home/placement-event-2017-18/
Placement Year 2015-16 .,https://www.shahandanchor.com/home/placement-year-2015-16/
Placement Event 2018-19 .,https://www.shahandanchor.com/home/placement-event-2018-19/
Placement Year 2016-17 .,https://www.shahandanchor.com/home/placement-year-2016-17/
Placement Year 2017-18 .,https://www.shahandanchor.com/home/placement-year-2017-18/
Placement Year 2018-19 .,https://www.shahandanchor.com/home/placement-year-2018-19/
Placement Year 2019-20 .,https://www.shahandanchor.com/home/placement-year-2019-20/
Workshop on National Innovation and Startup Policies : Chapter 1 .,https://www.shahandanchor.com/home/workshop-on-national-innovation-and-startup-policies-chapter-1/
SITEMAP .,https://www.shahandanchor.com/home/sitemap/
Computer Engineering Department .,https://www.shahandanchor.com/home/computer-department/
Electronics Engineering Department .,https://www.shahandanchor.com/home/electronics-engineering-department/
Information Technology Department .,https://www.shahandanchor.com/home/information-technology-department/
Electronics and Telecommunication Engineering Department .,https://www.shahandanchor.com/home/electronics-and-telecommunication-engineering-department/
General Science and Humanities Department .,https://www.shahandanchor.com/home/general-science-and-humanities-department/
SAKEC Web Development Committee .,https://www.shahandanchor.com/home/sakec-web-development-committee/
Internal Hackathon for Smart India Hackathon 2020 .,https://www.shahandanchor.com/home/internal-hackathon-for-smart-india-hackathon-2020/
2 Days Workshop on TPP and Business Development .,https://www.shahandanchor.com/home/2-days-workshop-on-tpp-and-business-development/
SAKEC Congratulates Students Placed in Infosys Limited .,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-infosys-limited-2/
3D Visualization and Animation on IITBombayX .,https://www.shahandanchor.com/home/3d-visualization-and-animation-on-iitbombayx/
IETE SAKEC INDUSTRIAL VISIT 2020 .,https://www.shahandanchor.com/home/iete-sakec-industrial-visit-2020/
Industrial Visit and Training Program to GCV Life Pvt. Ltd .,https://www.shahandanchor.com/home/industrial-visit-and-training-program-to-gcv-life-pvt-ltd/
“Ethical Hacking & IT Security” .,https://www.shahandanchor.com/home/ethical-hacking-it-security/
Opportunity to work with BLP .,https://www.shahandanchor.com/home/opportunity-to-work-with-blp/
Internship at ETmantra eLearning Solutions Pvt Ltd .,https://www.shahandanchor.com/home/oppourtunity-to-work-with-etmantra-elearning-solutions-pvt-ltd/
Opportunity to work with RotiBank Mumbai .,https://www.shahandanchor.com/home/opportunity-to-work-with-rotibank-mumbai/
Opportunity to work with GCV LIFE PVT. LTD .,https://www.shahandanchor.com/home/opportunity-to-work-with-gcv-life-pvt-ltd/
Programs Offered .,https://www.shahandanchor.com/home/programs-offered/
.,https://www.shahandanchor.com/home/7980-2/
Hands-on Session on Patent and Copyright filing .,https://www.shahandanchor.com/home/7982-2/
AWS & DOCKER .,https://www.shahandanchor.com/home/aws-docker/
Introduction to RedHat Linux .,https://www.shahandanchor.com/home/introduction-to-redhat-linux/
Leadership .,https://www.shahandanchor.com/home/leadership/
Pathway Towards Product Development .,https://www.shahandanchor.com/home/pathway-towards-product-development/
BEACH CLEAN-UP DRIVE at CHARNI ROAD CHOWPATTY .,https://www.shahandanchor.com/home/beach-clean-up-drive-at-charni-road-chowpatty/
Internship opportunity at Creative Finserve Pvt. Ltd. .,https://www.shahandanchor.com/home/internship-opportunity-at-creative-finserve-pvt-ltd/
Patent Filing .,https://www.shahandanchor.com/home/8039-2/
SAMPARKA - 2020 .,https://www.shahandanchor.com/home/samparka-2020/
Project Launch of Engineering Physics-I & Engineering Physics-II App .,https://www.shahandanchor.com/home/project-launch-of-physics-i-physics-ii-app/
Career guidance session .,https://www.shahandanchor.com/home/career-guidance-session/
TALK on Ethical Hacking & Cyber Security .,https://www.shahandanchor.com/home/ted-talk-on-ethical-hacking-cyber-security/
DIGITAL FORENSICS .,https://www.shahandanchor.com/home/digital-forensics/
Cryptocurrency .,https://www.shahandanchor.com/home/cryptocurrency/
Campus Recruitment Process ( CRP) of Infosys Limited for 2021 Batch .,https://www.shahandanchor.com/home/campus-recruitment-process-crp-of-infosys-limited-for-2021-batch/
Overseas Education .,https://www.shahandanchor.com/home/overseas-education-2/
"IIT Bombay, e-Yantra: Online Certified Course in Embedded Systems and Robotics .",https://www.shahandanchor.com/home/iit-bombay-e-yantra-online-certified-course-in-embedded-systems-and-robotics/
"Opportunity to participate in ""The F.A.I.R. Project"" .",https://www.shahandanchor.com/home/opportunity-to-participate-in-the-f-a-i-r-project/
Food Fiesta .,https://www.shahandanchor.com/home/food-fiesta-2/
Skinzy Software Solutions Pvt. Ltd. .,https://www.shahandanchor.com/home/skinzy-software-solutions-pvt-ltd/
Seminar on Data science and Cyber Security .,https://www.shahandanchor.com/home/seminar-on-data-science-and-cyber-security/
GATE Mock test .,https://www.shahandanchor.com/home/gate-mock-test/
Workshop on PCB Designing .,https://www.shahandanchor.com/home/workshop-on-pcb-designing/
CERN openlab Summer Student Programme .,https://www.shahandanchor.com/home/cern-openlab-summer-student-programme/
World Trade Centers Association Foundation (WTCAF) Peace through Trade Award .,https://www.shahandanchor.com/home/8095-2/
Internship Opportunity at 39 Innovative Ideas Futuristic Solutions – 39 IIFS .,https://www.shahandanchor.com/home/internship-opportunity-at-39-innovative-ideas-futuristic-solutions-39-iifs/
Internships for 1st-year students in reputed organisations by Internshala .,https://www.shahandanchor.com/home/internships-for-1st-year-students-in-reputed-organisations-by-internshala/
Gate:Tips and Tricks .,https://www.shahandanchor.com/home/gatetips-and-tricks/
