Intent,User Says,Text Response
sakec.agent.update.link.24,Supporting Staff ,https://www.shahandanchor.com/home/supporting-staff/
sakec.agent.update.link.25,ELibrary ,https://www.shahandanchor.com/home/e-library/
sakec.agent.update.link.26,Home ,https://www.shahandanchor.com/home/home/
sakec.agent.update.link.27,Contact Us ,https://www.shahandanchor.com/home/contact-us/
sakec.agent.update.link.28,ISTE postgraduation studies ,https://www.shahandanchor.com/home/iste-postgraduation-studies/
sakec.agent.update.link.29,Tips on Interview Skills ,https://www.shahandanchor.com/home/tips-on-interview-skills/
sakec.agent.update.link.30,First Year Engineering Admission Notification 2018  19 ,https://www.shahandanchor.com/home/admission-notification-2018-19/
sakec.agent.update.link.31,VicePrincipal’s Desk ,https://www.shahandanchor.com/home/vice-principals-desk/
sakec.agent.update.link.32,Chairman’s Desk ,https://www.shahandanchor.com/home/chairmans-desk/
sakec.agent.update.link.33,List of Eligible Students FOR BE (ACADEMIC YEAR 201718) ,https://www.shahandanchor.com/home/list-eligible-students/
sakec.agent.update.link.34,Instructions for Railway Concession Pass ,https://www.shahandanchor.com/home/instruction-railway-concession-pass/
sakec.agent.update.link.35,FE Time Table 201718 ,https://www.shahandanchor.com/home/fe-time-table-2017-18/
sakec.agent.update.link.36,List of Eligible Students TE (Academic Year 201718) ,https://www.shahandanchor.com/home/list-eligible-students-t-e-academic-year-2017-18/
sakec.agent.update.link.37,List of Eligible Students SE(201718) ,https://www.shahandanchor.com/home/list-eligible-students-s-e-2017-18/
sakec.agent.update.link.38,Ethical hacking and Digital Forensic ,https://www.shahandanchor.com/home/ethical-hacking-digital-forensic/
sakec.agent.update.link.39,Our Recruiters ,https://www.shahandanchor.com/home/our-recruiters/
sakec.agent.update.link.40,Industrial Visit ,https://www.shahandanchor.com/home/industrial-visit/
sakec.agent.update.link.41,Direct Second Year Engineering Admission Notification 2018  19 ,https://www.shahandanchor.com/home/direct-second-year-engineering-admission-notification-2018-19/
sakec.agent.update.link.42,Student Development Program ,https://www.shahandanchor.com/home/training-session/
sakec.agent.update.link.43,Academic Calendar for FE (201819 Odd) ,https://www.shahandanchor.com/home/academic-calendar-fe-2017-18-odd/
sakec.agent.update.link.44,ISTE Matlab Workshop ,https://www.shahandanchor.com/home/iste-matlab-workshop/
sakec.agent.update.link.45,Data mining workshop ,https://www.shahandanchor.com/home/data-mining-workshop/
sakec.agent.update.link.46,Ionic Framework ,https://www.shahandanchor.com/home/rtl-design-functional-verification/
sakec.agent.update.link.47,Scientific Calculator Workshop ,https://www.shahandanchor.com/home/scientific-calculator-workshop-2/
sakec.agent.update.link.48,Engineering Life Seminar ,https://www.shahandanchor.com/home/engineering-life-seminar/
sakec.agent.update.link.49,Secure Life with Shield of Insurance ,https://www.shahandanchor.com/home/secure-life-with-shield-of-insurance/
sakec.agent.update.link.50,Innovation Challenge By Accenture ,https://www.shahandanchor.com/home/innovation-challenge-by-accenture/
sakec.agent.update.link.51,SAKECShah  Anchor Kutchhi Engineering College ,https://www.shahandanchor.com/home/
sakec.agent.update.link.52,Sample Page ,https://www.shahandanchor.com/home/sample-page/
sakec.agent.update.link.53,Railway Concession Pass ,https://www.shahandanchor.com/home/railway-concession-pass/
sakec.agent.update.link.54,Olympus ,https://www.shahandanchor.com/home/olympus/
sakec.agent.update.link.55,Cultural Festival ,https://www.shahandanchor.com/home/cultural-festival/
sakec.agent.update.link.56,Training  Placement Activities ,https://www.shahandanchor.com/home/training-placement-activities/
sakec.agent.update.link.57,Internal Complaints Committee (ICC) ,https://www.shahandanchor.com/home/internal-complaints-committee-icc/
sakec.agent.update.link.58,Conduct  Discipline ,https://www.shahandanchor.com/home/conductdiscipline/
sakec.agent.update.link.59,Auditorium ,https://www.shahandanchor.com/home/auditorium/
sakec.agent.update.link.60,Result Analysis ,https://www.shahandanchor.com/home/result-analysis/
sakec.agent.update.link.61,Website Development using WordPress ,https://www.shahandanchor.com/home/web-development-using-wordpress/
sakec.agent.update.link.62,Dive in Deep Learning Workshop Prerequiste ,https://www.shahandanchor.com/home/dive-in-deep-learning-workshop-prerequiste/
sakec.agent.update.link.63,CAREER GUIDANCE FOR HIGHER STUDIES ,https://www.shahandanchor.com/home/career-guidance-for-higher-studies/
sakec.agent.update.link.64,Workshop on VHDL ,https://www.shahandanchor.com/home/workshop-on-vhdl/
sakec.agent.update.link.65,Kerala Floods Untold ,https://www.shahandanchor.com/home/kerala-floodsuntold/
sakec.agent.update.link.66,Student Leadership Program by Indian Development Foundation ,https://www.shahandanchor.com/home/student-leadership-program-by-indian-development-foundation/
sakec.agent.update.link.67,Special Interest Group on AI  Deep Learning ,https://www.shahandanchor.com/home/special-interest-group-on-ai-deep-learning/
sakec.agent.update.link.68,Career Guidance for Higher Studies ,https://www.shahandanchor.com/home/coding-with-java/
sakec.agent.update.link.69,Student Counsil 201718 ,https://www.shahandanchor.com/home/4135-2/
sakec.agent.update.link.70,SPORTS ,https://www.shahandanchor.com/home/sports/
sakec.agent.update.link.71,CULTURE ,https://www.shahandanchor.com/home/culture/
sakec.agent.update.link.72,SAKECQUIZ 2018 ,https://www.shahandanchor.com/home/sakec-quiz-2018/
sakec.agent.update.link.73,Globalink Research Internship 2018 ,https://www.shahandanchor.com/home/globalink-research-internship-2018/
sakec.agent.update.link.74,SwedenIndia Nobel Memorial Quiz 2018 ,https://www.shahandanchor.com/home/sweden-india-nobel-memorial-quiz-2018-2/
sakec.agent.update.link.75,Defeating CyberCrime with Awareness ,https://www.shahandanchor.com/home/defeating-cybercrime-with-awareness/
sakec.agent.update.link.76,Start up Records ,https://www.shahandanchor.com/home/start-up-records/
sakec.agent.update.link.77,CODEVITA winners ,https://www.shahandanchor.com/home/codevita-winners-congratulations-on-your-proud-achievement/
sakec.agent.update.link.78,ISTE Coding with JAVA ,https://www.shahandanchor.com/home/iste-coding-with-java/
sakec.agent.update.link.79,Industrial Visit ,https://www.shahandanchor.com/home/industrial-visit-2/
sakec.agent.update.link.80,Internship through Internshala  For First year Students ,https://www.shahandanchor.com/home/internship-through-internshala-for-first-year-students/
sakec.agent.update.link.81,Smart India Hackathon 2019(SIH 2019) ,https://www.shahandanchor.com/home/smart-india-hack-thon-2018sih-2018/
sakec.agent.update.link.82,CAREER GUIDANCE FOR HIGHER STUDIES ,https://www.shahandanchor.com/home/career-guidance-for-higher-studies-3/
sakec.agent.update.link.83,Data Center Technologies – Need of this hour ,https://www.shahandanchor.com/home/datacenter-technologies-need-of-this-hour/
sakec.agent.update.link.84,TCS Placed Students ,https://www.shahandanchor.com/home/tcs-placed-students/
sakec.agent.update.link.85,Daan Utsav ,https://www.shahandanchor.com/home/attack-security-in-cyber-era/
sakec.agent.update.link.86,Hunar 20 Orientation Program ,https://www.shahandanchor.com/home/career-guidance/
sakec.agent.update.link.87,Blood Donation Camp ,https://www.shahandanchor.com/home/introduction-to-latex/
sakec.agent.update.link.88,SAKEC SIH 2019 ,https://www.shahandanchor.com/home/sakec-sih-2019/
sakec.agent.update.link.89,Campus to Corporate ,https://www.shahandanchor.com/home/campus-to-corporate/
sakec.agent.update.link.90,HUNAR 20 in search of GenY Entrepreneurs ,https://www.shahandanchor.com/home/hunar-2-0-in-search-of-gen-y-entrepreneurs/
sakec.agent.update.link.91,ABHIYANTRIKI 2018 Internship Expo ,https://www.shahandanchor.com/home/abhiyantriki-2018-internship-expo/
sakec.agent.update.link.92,TERM WORK SUBMISSION CARD ,https://www.shahandanchor.com/home/term-work-submission-card/
sakec.agent.update.link.93,Bank ,https://www.shahandanchor.com/home/bank/
sakec.agent.update.link.94,Seminar Hall ,https://www.shahandanchor.com/home/seminar-hall/
sakec.agent.update.link.95,Indoor Sports Facilities ,https://www.shahandanchor.com/home/indoor-sports-facilities/
sakec.agent.update.link.96,Girls Common Room ,https://www.shahandanchor.com/home/girls-common-room/
sakec.agent.update.link.97,Auditorium ,https://www.shahandanchor.com/home/auditorium-2/
sakec.agent.update.link.98,Gymnasium ,https://www.shahandanchor.com/home/gymnasium/
sakec.agent.update.link.99,Vaachan Prerna Diwas ,https://www.shahandanchor.com/home/mahatma-gandhi-vaachan-prerna-diwas/
sakec.agent.update.link.100,Dance Workshop ,https://www.shahandanchor.com/home/web-development-using-angular-5/
sakec.agent.update.link.101,Cognitive Skills Desgin Thinking and Critical Thinking ,https://www.shahandanchor.com/home/cognitive-skills-desgin-thinking-and-critical-thinking-iic/
sakec.agent.update.link.102,Self Defense Workshop ,https://www.shahandanchor.com/home/self-defense-workshop/
sakec.agent.update.link.103,Short Term Training Program on Recent Trends in IOT ,https://www.shahandanchor.com/home/short-term-training-program-on-recent-trends-in-iot/
sakec.agent.update.link.104,Internship opportunity at Microhind Mumbai ,https://www.shahandanchor.com/home/internship-opportunity-at-microhind-mumbai/
sakec.agent.update.link.105,Global Entrepreneurship Summit at IIT Kharagpur ,https://www.shahandanchor.com/home/global-entrepreneurship-summit-at-iit-kharagpur/
sakec.agent.update.link.106,SAKEC celebrates the achievement of 31st Internship rank among 1800+ colleges ,https://www.shahandanchor.com/home/sakec-celebrates-the-achievement-of-31st-rank-among-1800-colleges/
sakec.agent.update.link.107,Startup Support Drive by NMIMSs Atal Incubation Centre (ATC) ,https://www.shahandanchor.com/home/startup-support-drive-by-nmimss-atal-incubation-centre-atc/
sakec.agent.update.link.108,Winners of Hunar 20 Zonal round ,https://www.shahandanchor.com/home/winners-of-hunar-2-0-zonal-round/
sakec.agent.update.link.109,SAKEC Prospectus ,https://www.shahandanchor.com/home/sakec-prospectus/
sakec.agent.update.link.110,India First Leadership Talk ,https://www.shahandanchor.com/home/india-first-leadership-talk/
sakec.agent.update.link.111,Role of Teachers of the Future ,https://www.shahandanchor.com/home/role-of-teachers-of-the-future/
sakec.agent.update.link.112,PlacementInternship Drive by Internshala ,https://www.shahandanchor.com/home/a2e-access-to-employability/
sakec.agent.update.link.113,Library ,https://www.shahandanchor.com/home/library/
sakec.agent.update.link.114,AN INTERNSHIP OPPORTUNITY ON SYSTEM AND NETWORK ADMINISTRATION ,https://www.shahandanchor.com/home/an-internship-opportunity-on-system-and-network-administration/
sakec.agent.update.link.115,Narotam Sekhsaria Scholarship Programme ,https://www.shahandanchor.com/home/narotam-sekhsaria-scholarship-programme/
sakec.agent.update.link.116,Institution Innovation Council (IIC) ,https://www.shahandanchor.com/home/institution-innovation-council-iic/
sakec.agent.update.link.117,Establishment of the Institution Innovation Council (IIC) ,https://www.shahandanchor.com/home/establishment-of-the-institution-innovation-council-iic/
sakec.agent.update.link.118,Internship program on Programming  Graphics Designing ,https://www.shahandanchor.com/home/internship-program-on-programming-graphics-designing/
sakec.agent.update.link.119,2019 Commonwealth Scholarship in the UK ,https://www.shahandanchor.com/home/2019-commonwealth-scholarship-in-the-uk/
sakec.agent.update.link.120,GNUkhata Software ,https://www.shahandanchor.com/home/gnukhata-software/
sakec.agent.update.link.121,Congratulations Vistaar Placed!!! ,https://www.shahandanchor.com/home/congratulations-vistaar-placed/
sakec.agent.update.link.122,Congratulations Logixal Placed!!! ,https://www.shahandanchor.com/home/congratulations-logixal-placed/
sakec.agent.update.link.123,Glimpse of Inauguration Ceremony of STTP on Recent Trends in IOT ,https://www.shahandanchor.com/home/glimpse-of-inauguration-ceremony-of-sttp-on-recent-trends-in-iot/
sakec.agent.update.link.124,IBM Watson Overview session Registration ,https://www.shahandanchor.com/home/ibm-watson-overview-session/
sakec.agent.update.link.125,Financial Career Planning ,https://www.shahandanchor.com/home/financial-career-planning/
sakec.agent.update.link.126,Inauguration of SAKEC INNOVATION CENTRE ,https://www.shahandanchor.com/home/a-webinar-on-ipr-by-ms-shwetasree-majumnder-principal-of-fishs-law-chamber/
sakec.agent.update.link.127,Internship at WAGGY TAILS PRIVATE LIMITED ,https://www.shahandanchor.com/home/internship-at-waggy-tails-private-limited/
sakec.agent.update.link.128,Research  SAKEC ,https://www.shahandanchor.com/home/research-sakec/
sakec.agent.update.link.129,Internship opportunity at IIT Gandhinagar ,https://www.shahandanchor.com/home/active-learning-strategies/
sakec.agent.update.link.130,Training and Placement opportunity by Techzilla and IIT Bombay ECell ,https://www.shahandanchor.com/home/training-and-placement-opportunity-by-techzilla-and-iit-bombay-e-cell/
sakec.agent.update.link.131,Internship in Association with Roti Bank Mumbai ,https://www.shahandanchor.com/home/internship-in-association-with-roti-bank-mumbai/
sakec.agent.update.link.132,Stress Free Exams ,https://www.shahandanchor.com/home/machine-learning-tools/
sakec.agent.update.link.133,Handson Workshop and Competition on Robotics ,https://www.shahandanchor.com/home/hands-on-workshop-and-competition-on-robotics/
sakec.agent.update.link.134,Grand Summer Internship Fair by Internshala ,https://www.shahandanchor.com/home/intellectual-property-rightsipr/
sakec.agent.update.link.135,ISTE IV CSTM ,https://www.shahandanchor.com/home/iste-iv-cstm/
sakec.agent.update.link.136,ISTEMagazine Article Collection 2019 ,https://www.shahandanchor.com/home/iste-magazine-launch-2019/
sakec.agent.update.link.137,Student Development Workshop on Agile Software Development ,https://www.shahandanchor.com/home/orientation-for-enterprise-resource-planning-erp/
sakec.agent.update.link.138,Internship in Association with Live Your Dream Foundation (Happy Bubbles) ,https://www.shahandanchor.com/home/internship-in-association-with-live-your-dream-foundation-happy-bubbles/
sakec.agent.update.link.139,Idea Competition by IIC SAKEC ,https://www.shahandanchor.com/home/idea-competition-by-iic-sakec/
sakec.agent.update.link.140,Audited Statement of FY 201718 ,https://www.shahandanchor.com/home/audited-statement-of-f-y-2017-18/
sakec.agent.update.link.141,Committee for SCST ,https://www.shahandanchor.com/home/committee-for-scst/
sakec.agent.update.link.142,Congratulations NSEIT Placed!!! ,https://www.shahandanchor.com/home/congratulations-nseit-placed/
sakec.agent.update.link.143,Congratulations Wipro Placed!!! ,https://www.shahandanchor.com/home/congratulations-wipro-placed/
sakec.agent.update.link.144,Congratulations Dark Horse Digital Solutions Placed!!! ,https://www.shahandanchor.com/home/congratulations-dark-horse-digital-solutions-placed/
sakec.agent.update.link.145,Congratulations Zeus Learning Pvt Ltd Placed!!! ,https://www.shahandanchor.com/home/congratulations-zeus-learning-pvt-ltd-placed/
sakec.agent.update.link.146,Congratulations Servosys Solutions Placed!!! ,https://www.shahandanchor.com/home/congratulations-servosys-solutions-placed/
sakec.agent.update.link.147,Congratulations Think and Learn Pvt Ltd (BYJUS) Placed!!! ,https://www.shahandanchor.com/home/congratulations-think-and-learn-pvt-ltd-byjus-placed/
sakec.agent.update.link.148,Congratulations Bitwise Placed!!! ,https://www.shahandanchor.com/home/congratulations-bitwise-placed/
sakec.agent.update.link.149,Congratulations Hexaware Technologies Limited Placed!!! ,https://www.shahandanchor.com/home/congratulations-hexaware-technologies-limited-placed/
sakec.agent.update.link.150,Congratulations Reliance Jio Infocomm Limited Placed!!! ,https://www.shahandanchor.com/home/congratulations-reliance-jio-infocomm-limited-placed/
sakec.agent.update.link.151,Audited Statement of FY 201617 ,https://www.shahandanchor.com/home/audited-statement-of-f-y-2016-17/
sakec.agent.update.link.152,Audited Statement of FY 201516 ,https://www.shahandanchor.com/home/audited-statement-of-f-y-2015-16/
sakec.agent.update.link.153,Life  SAKEC ,https://www.shahandanchor.com/home/life-sakec/
sakec.agent.update.link.154,BeTheHero ,https://www.shahandanchor.com/home/drug-free-india/
sakec.agent.update.link.155,SAKEC CONNECT ,https://www.shahandanchor.com/home/sakec-connect/
sakec.agent.update.link.156,Office Staff ,https://www.shahandanchor.com/home/office-staff/
sakec.agent.update.link.157,Infra ,https://www.shahandanchor.com/home/infra/
sakec.agent.update.link.158,Infrastructure ,https://www.shahandanchor.com/home/infrastructure/
sakec.agent.update.link.159,Exam Cell Staff ,https://www.shahandanchor.com/home/exam-cell-staff/
sakec.agent.update.link.160,Professional Bodies Policy ,https://www.shahandanchor.com/home/professional-bodies-policy/
sakec.agent.update.link.161,Congratulations Jaro Education Placed!!! ,https://www.shahandanchor.com/home/congratulations-jaro-education-placed/
sakec.agent.update.link.162,Congratulations CodeArray Technologies Pvt Ltd Placed!!! ,https://www.shahandanchor.com/home/congratulations-wipro-placed-2/
sakec.agent.update.link.163,Episode 04 of India First Leadership Talk Series ,https://www.shahandanchor.com/home/episode-03-of-india-first-leadership-talk-series-19th-march-2019/
sakec.agent.update.link.164,Googles Developer Student Club Lead Program ,https://www.shahandanchor.com/home/hands-on-github-workshop-2/
sakec.agent.update.link.165,Governing Body ,https://www.shahandanchor.com/home/governing-body/
sakec.agent.update.link.166,Congratulating the students listed as authors in GNUKhata software ,https://www.shahandanchor.com/home/congratulating-the-students-listed-as-authors-in-gnukhata-software/
sakec.agent.update.link.167,Internship at Centre for Creative Learning (CCL) IIT Gandhinagar ,https://www.shahandanchor.com/home/internship-at-centre-for-creative-learning-ccl-iit-gandhinagar/
sakec.agent.update.link.168,Intern with Wisdom Sprouts ,https://www.shahandanchor.com/home/intern-with-wisdom-sprouts/
sakec.agent.update.link.169,One Day Python Workshop for Teachers ,https://www.shahandanchor.com/home/design-competition-for-proof-of-concept-development/
sakec.agent.update.link.170,Summer Training by Internshala ,https://www.shahandanchor.com/home/summer-training-by-internshala/
sakec.agent.update.link.171,Education Leadership Award by The ABP NEWS ,https://www.shahandanchor.com/home/education-leadership-award-by-the-abp-news/
sakec.agent.update.link.172,50 FABULOUS EDUTECH LEADERS at the 8th World Education Congress ,https://www.shahandanchor.com/home/50-fabulous-edutech-leaders-at-the-8th-world-education-congress/
sakec.agent.update.link.173,Congratulations the team CollShahandanchor1 for ranking 1st Nationally and 50th Internationally at DATA MINING CUP 2019  Berlin ,https://www.shahandanchor.com/home/congratulations-the-team-coll_shahandanchor_1-for-ranking-1st-nationally-and-50th-internationally-at-data-mining-cup-2019-berlin/
sakec.agent.update.link.174,Registration of Institution’s Innovation Council (IIC 20) ,https://www.shahandanchor.com/home/registration-of-institutions-innovation-council-iic-2-0/
sakec.agent.update.link.175,Alumni Talk ,https://www.shahandanchor.com/home/student-development-workshop-on-industry-expectations-from-engineering-graduates/
sakec.agent.update.link.176,Internship opportunity with Indian Development Foundation ,https://www.shahandanchor.com/home/5156-2/
sakec.agent.update.link.177,Alumni Cell Student Team Registration ,https://www.shahandanchor.com/home/alumni-cell-student-team-registration/
sakec.agent.update.link.178,14th InterCollegiateInstituteDepartment Avishkar Research Convention (Zone VIII) ,https://www.shahandanchor.com/home/14th-inter-collegiate-institute-department-avishkar-research-convention-zone-viii/
sakec.agent.update.link.179,Clearance form for Leaving Certificate ,https://www.shahandanchor.com/home/clearance-form-leaving-certificate/
sakec.agent.update.link.180,SAKEC Alumni Cell Logo Design Contest ,https://www.shahandanchor.com/home/sakec-alumni-cell-logo-design-contest/
sakec.agent.update.link.181,Internship opportunity at Arihant Media Solutions (AMS) ,https://www.shahandanchor.com/home/internship-at-art-of-living/
sakec.agent.update.link.182,Invitation to join SAKEC Research Cell ,https://www.shahandanchor.com/home/invitation-to-join-sakec-research-cell/
sakec.agent.update.link.183,Internship opportunity at Namita’s Fitness Hub (NFH) ,https://www.shahandanchor.com/home/internship-opportunity-at-namitas-fitness-hub-nfh/
sakec.agent.update.link.184,Book Launch Event ,https://www.shahandanchor.com/home/book-launch-event/
sakec.agent.update.link.185,ARTIFICIAL INTELLIGENCE MAKING A SYSTEM INTELLIGENT Book Launch Event ,https://www.shahandanchor.com/home/artificial-intelligence-making-a-system-intelligent-book-launch-event/
sakec.agent.update.link.186,Placement Orientation for 2021 Batch ,https://www.shahandanchor.com/home/placement-orientation-for-2020-batch/
sakec.agent.update.link.187,A One Day Linux Workshop for Teachers ,https://www.shahandanchor.com/home/a-one-day-linux-workshop-for-teachers/
sakec.agent.update.link.188,SAKEC Congratulates Students Placed in NSEIT ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-nseit/
sakec.agent.update.link.189,SAKEC Congratulates Students Placed in Infosys ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-infosys/
sakec.agent.update.link.190,SAKEC Congratulates Students Placed in Sciative Solutions ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-sciative-solutions/
sakec.agent.update.link.191,SAKEC Congratulates Students Placed in LTI ,https://www.shahandanchor.com/home/lti-placed-students/
sakec.agent.update.link.192,SAKEC Congratulates Students Placed in MAQ Software ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-maq-software/
sakec.agent.update.link.193,Dress Code ,https://www.shahandanchor.com/home/dress-code/
sakec.agent.update.link.194,Calculator Workshop 2019 ,https://www.shahandanchor.com/home/use-of-scientific-calculator/
sakec.agent.update.link.195,SAKEC Global Immersion 201920 EUROPE ,https://www.shahandanchor.com/home/iste-arduino-for-beginners/
sakec.agent.update.link.196,Workshops Organised by IIT Bombay ECell ,https://www.shahandanchor.com/home/workshops-organised-by-iit-bombay-e-cell/
sakec.agent.update.link.197,Working with Geodesics  Creative Applications of Simple Mathematical and Geometrical Principles ,https://www.shahandanchor.com/home/working-with-geodesics-creative-applications-of-simple-mathematical-and-geometrical-principles/
sakec.agent.update.link.198,SAKEC Congratulates Students Placed in Vistex Asia Pacific Pvt Ltd ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-vistex-asia-pacific-pvt-ltd/
sakec.agent.update.link.199,SAKEC Congratulates Students Placed in Vistaar Technologies Price Management Solutions ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-vistaar-technologies-price-management-solutions/
sakec.agent.update.link.200,SAKEC Congratulates Students Placed in Capgemini India ,https://www.shahandanchor.com/home/sakec-congratulates-students-placed-in-capgemini-india/
